,WI,NN,EM,AY,SY,TH,HI,KA,HR
TR,0,1,1,1,1,1,0,0,1
ML,0,1,1,1,1,1,0,0,1
KN,0,1,0,0,0,1,0,0,0
PB,1,0,0,0,0,0,0,0,0
JE,0,0,0,0,0,0,1,0,0
UR,0,0,0,0,0,0,0,1,0
LW,0,0,0,1,1,0,0,0,0
CM,0,0,1,1,1,0,0,0,1
NG,0,1,1,1,1,0,0,0,0
